# DO NOT EDIT OR DELETE THIS FILE!

# tab-width=4
<package>				<version>					<sha256sum>															<files>
aften					0.0.8+git20100105			604b399f1798a6e7d645a0c72339581b594fcea5da9bde376010b83cf3ddd5ea	aften
aom						20180319					9ce090850531e4cb12ec34dce59e99e8689c8e76fde7293f1e2d5dbe7fc97ffa	aomenc
BDSup2SubPlusPlus		1.0.2-patched-20150827		42f2aca906f83bd5737367795a1bd56f19211280b389773152a9c1bb00b2c682	bdsup2sub++
d2vwitch				deprecated
dcaenc					2							d88a411e399ed549e4af9eef07f70389fbdd35fe64bc2468a2a089d1aaf88de4	dcaenc
delaycut				1.4.3.9						eb70cd239b7f8f641c29540164a2eb4def99ba1627be1b57a7596247c840eb1b	delaycut
ffmbc					0.7.4-fixed					8dca40eec4e5ff92f5894abe7c1f8e62c51bdf071bc7e91be3e7d9b41d44a8df	ffmbc
ffmpeg					4.1 						c522164b3af971062d3432137855dfa609eda944246339d6d1b0e5cd79528591	ffmpeg
flac					1.3.2-1						09c97f1c81b5acbb3635992400141fc21297fff8f874b9c0e9766051cdf4d182	flac
FLVExtractCL			1.6.2						39310b01f4f3f80ac68877c8eb5e616b9d33ce886eb0307ec33c709dfd68ebb9	FLVExtractCL
FrameCounter			20151031					c089e0c502ee660ea375aba4567882f1fa411966d6c3ba4d6958acb340a82937	FrameCounter
gpac					0.7.1						785356560879e524d3355cdbcf51c8221423367a06d202b2db07eefcb7d9963f	MP4Box
kvazaar					1.2.0						f18e6d392469ed6fb30b6888696f827b8e894d8884cc01fad081cc793c728576	kvazaar
lame					3.99.5						530d24d4b26e04d4f691edf5243932bd48e0b8559e8f2088c4f5c8de6ed492eb	lame
lsdvd					0.17						9b74f683b26b9369e2f23e814af43c7a726f42f52564a940a2ef8abad3568cc9	lsdvd
mediainfo				18.08.1						ff837cb382a876d744bb798fd92acc6ef0162e67c326ad4ffd4799e125a4c27c	mediainfo
mkvtoolnix				28.2.0						327971ad31a0117035154f1ee5ee5021bccf082ae8f9df464b357882517a86c2	mkvextract mkvinfo mkvmerge
mp4fpsmod				0.26						40b503a3d728540b9c9d530bc54f87bb224a0b12186eea344623d98ade5a5f17	mp4fpsmod
mplayer					20170505					d4434bfb43d8b3c1fb27c88d3229cb24501b276c4c6a3d81032fed0d83c50c55	mencoder mplayer
opus-tools				0.1.10-1					80effd07a8d15e9bdf5fb73731a97d10d8720165c9bd0a08197395809793b670	opusenc
sox						14.4.2						8f400a35f07d41ff574526e6b2295e6e15ceac13d6c5cd39e502e7427629751e	sox
telxcc					2.5.3						0dbc11d36ae7be24115f1b9b5934b549d341dab58a0b1ab7e534c5a3b09c1495	telxcc
vorbis-tools			1.4.0-3						3ead28e7449890a77ed3b390d89c925363c71eeffff0b1586595b4be580a4771	oggenc
vpx						1.7.0-1						2dd46d4208c25cfa7c358151e6c6dece806b00a25ae56dbf8443c54e92ab51f0	vpxenc
x264					0.157.2935  				d261134d5126adcdc2c48dd15c04b6fc729811ee8b552032190ed0683e9323d5	x264
x265					2.9			    		    441a6d47e96b615e70622a100d02bba1e89584244102ca284d3635b0db7be564	x265
