# DO NOT EDIT OR DELETE THIS FILE!

# tab-width=4
<package>				<version>					<sha256sum>															<files>
aften					0.0.8+git20100105			604b399f1798a6e7d645a0c72339581b594fcea5da9bde376010b83cf3ddd5ea	aften
aom						20170623					33d760439d37b05ca5db751ba8c5ad462df1783bf6b7cbeaedb0a7baff11cd87	aomenc
BDSup2SubPlusPlus		1.0.2-patched-20150827		42f2aca906f83bd5737367795a1bd56f19211280b389773152a9c1bb00b2c682	bdsup2sub++
d2vwitch				deprecated
dcaenc					2							d88a411e399ed549e4af9eef07f70389fbdd35fe64bc2468a2a089d1aaf88de4	dcaenc
delaycut				1.4.3.9						eb70cd239b7f8f641c29540164a2eb4def99ba1627be1b57a7596247c840eb1b	delaycut
ffmbc					0.7.4-fixed					8dca40eec4e5ff92f5894abe7c1f8e62c51bdf071bc7e91be3e7d9b41d44a8df	ffmbc
ffmpeg					3.4.1						6b742f35b42d2cc8ab07a15a14156e85c17dad81587c804c2000ae3e8fe74c0f	ffmpeg
flac					1.3.2-1						09c97f1c81b5acbb3635992400141fc21297fff8f874b9c0e9766051cdf4d182	flac
FLVExtractCL			1.6.2						39310b01f4f3f80ac68877c8eb5e616b9d33ce886eb0307ec33c709dfd68ebb9	FLVExtractCL
FrameCounter			20151031					c089e0c502ee660ea375aba4567882f1fa411966d6c3ba4d6958acb340a82937	FrameCounter
gpac					0.7.0						5e5dfc0ca695a863359d30cd33804a0b396c840a41e49fbf52311331420b3219	MP4Box
kvazaar					1.2.0						f18e6d392469ed6fb30b6888696f827b8e894d8884cc01fad081cc793c728576	kvazaar
lame					3.99.5						530d24d4b26e04d4f691edf5243932bd48e0b8559e8f2088c4f5c8de6ed492eb	lame
lsdvd					0.17						9b74f683b26b9369e2f23e814af43c7a726f42f52564a940a2ef8abad3568cc9	lsdvd
mediainfo				17.12						add23bd5c809ea190dbd569e7c31a82d3f37d5746d3f7b78e763fd8277db0e15	mediainfo
mkvtoolnix				20.0.0						eceac6695d1781d2d097dfeb6967395c1b8e092e71b88548d50d1aa286197812	mkvextract mkvinfo mkvmerge
mp4fpsmod				0.25						2def5c2d31e6b5696fe793e642ef96e3ad9056f7a2977fd0dcf3c9b72ad2f7d4	mp4fpsmod
mplayer					20170505					d4434bfb43d8b3c1fb27c88d3229cb24501b276c4c6a3d81032fed0d83c50c55	mencoder mplayer
opus-tools				0.1.10-1					80effd07a8d15e9bdf5fb73731a97d10d8720165c9bd0a08197395809793b670	opusenc
sox						14.4.2						8f400a35f07d41ff574526e6b2295e6e15ceac13d6c5cd39e502e7427629751e	sox
telxcc					2.5.3						0dbc11d36ae7be24115f1b9b5934b549d341dab58a0b1ab7e534c5a3b09c1495	telxcc
vorbis-tools			1.4.0-2						8e0137f48b33000556fdef12f332fda7adec22536d9ffe2f310d3074a633f70c	oggenc
vpx						1.6.1						25c64cc32f1fb5e77dc43e33ce191afbd40227edab57e95745f3ac2aab8bbae6	vpxenc
x264					0.155.2901					d229e6c29a59a3704c4807ee3e80738d7b68c319e87abd3ab03a87246ee32d7e	x264 x264-10bit
x265					2.6							1d504492534dbf3a29f64facbb9a6eb5e76095838952cb77b1a22f5df1c0d020	x265
